metric,state,species_1,survey_type,survey_type_effort,sampling_method,target_species_1,target_species_2,area_group,month_min,month_max,effort_min,water_temp_min,water_temp_max
adult_abundance,Illinois,black_crappie,Community Sample,,Boat electrofishing AC,,,,,,,,
adult_abundance,Illinois,black_crappie,Community Sample,,Boat electrofishing AC (Night),,,,,,,,
adult_abundance,Illinois,black_crappie,Community Sample,,Boat electrofishing DC -- Smith Root,,,,,,,,
adult_abundance,Illinois,black_crappie,Community Sample,,Boat electrofishing DC -- Smith Root (Night),,,,,,,,
adult_abundance,Illinois,black_crappie,Community Sample,,Boat electrofishing DC - Unspecified Manufacturer,,,,,,,,
adult_abundance,Illinois,black_crappie,Community Sample,,Boat electrofishing DC -- Wisconsin,,,,,,,,
adult_abundance,Illinois,black_crappie,Community Sample,,Boat electrofishing DC -- Wisconsin (Night),,,,,,,,
adult_abundance,Illinois,black_crappie,Community Sample,,Trap net 0.5 in bar mesh,,,,,,,,
adult_abundance,Illinois,black_crappie,Community Sample,,Trap net 1 in bar mesh,,,,,,,,
adult_abundance,Illinois,black_crappie,Community Sample,,Trap net 1.5 in bar mesh,,,,,,,,
adult_abundance,Illinois,black_crappie,Targeted Species,,Boat electrofishing AC,,,,,,,,
adult_abundance,Illinois,black_crappie,Targeted Species,,Boat electrofishing AC (Night),,,,,,,,
adult_abundance,Illinois,black_crappie,Targeted Species,,Boat electrofishing DC -- Smith Root,,,,,,,,
adult_abundance,Illinois,black_crappie,Targeted Species,,Boat electrofishing DC -- Smith Root (Night),,,,,,,,
adult_abundance,Illinois,black_crappie,Targeted Species,,Boat electrofishing DC - Unspecified Manufacturer,,,,,,,,
adult_abundance,Illinois,black_crappie,Targeted Species,,Boat electrofishing DC -- Wisconsin,,,,,,,,
adult_abundance,Illinois,black_crappie,Targeted Species,,Boat electrofishing DC -- Wisconsin (Night),,,,,,,,
adult_abundance,Illinois,black_crappie,Targeted Species,,Trap net 0.5 in bar mesh,,,,,,,,
adult_abundance,Illinois,black_crappie,Targeted Species,,Trap net 1 in bar mesh,,,,,,,,
adult_abundance,Illinois,black_crappie,Targeted Species,,Trap net 1.5 in bar mesh,,,,,,,,
adult_abundance,Illinois,bluegill,Community Sample,,Boat electrofishing AC,,,,,,,,
adult_abundance,Illinois,bluegill,Community Sample,,Boat electrofishing AC (Night),,,,,,,,
adult_abundance,Illinois,bluegill,Community Sample,,Boat electrofishing DC -- Smith Root,,,,,,,,
adult_abundance,Illinois,bluegill,Community Sample,,Boat electrofishing DC -- Smith Root (Night),,,,,,,,
adult_abundance,Illinois,bluegill,Community Sample,,Boat electrofishing DC - Unspecified Manufacturer,,,,,,,,
adult_abundance,Illinois,bluegill,Community Sample,,Boat electrofishing DC -- Wisconsin,,,,,,,,
adult_abundance,Illinois,bluegill,Community Sample,,Boat electrofishing DC -- Wisconsin (Night),,,,,,,,
adult_abundance,Illinois,bluegill,Community Sample,,Trap net 0.5 in bar mesh,,,,,,,,
adult_abundance,Illinois,bluegill,Community Sample,,Trap net 1 in bar mesh,,,,,,,,
adult_abundance,Illinois,bluegill,Community Sample,,Trap net 1.5 in bar mesh,,,,,,,,
adult_abundance,Illinois,bluegill,Targeted Species,,Boat electrofishing AC,,,,,,,,
adult_abundance,Illinois,bluegill,Targeted Species,,Boat electrofishing AC (Night),,,,,,,,
adult_abundance,Illinois,bluegill,Targeted Species,,Boat electrofishing DC -- Smith Root,,,,,,,,
adult_abundance,Illinois,bluegill,Targeted Species,,Boat electrofishing DC -- Smith Root (Night),,,,,,,,
adult_abundance,Illinois,bluegill,Targeted Species,,Boat electrofishing DC - Unspecified Manufacturer,,,,,,,,
adult_abundance,Illinois,bluegill,Targeted Species,,Boat electrofishing DC -- Wisconsin,,,,,,,,
adult_abundance,Illinois,bluegill,Targeted Species,,Boat electrofishing DC -- Wisconsin (Night),,,,,,,,
adult_abundance,Illinois,bluegill,Targeted Species,,Trap net 0.5 in bar mesh,,,,,,,,
adult_abundance,Illinois,bluegill,Targeted Species,,Trap net 1 in bar mesh,,,,,,,,
adult_abundance,Illinois,bluegill,Targeted Species,,Trap net 1.5 in bar mesh,,,,,,,,
adult_abundance,Illinois,largemouth_bass,Community Sample,,Boat electrofishing AC,,,,,,,,
adult_abundance,Illinois,largemouth_bass,Community Sample,,Boat electrofishing AC (Night),,,,,,,,
adult_abundance,Illinois,largemouth_bass,Community Sample,,Boat electrofishing DC -- Smith Root,,,,,,,,
adult_abundance,Illinois,largemouth_bass,Community Sample,,Boat electrofishing DC -- Smith Root (Night),,,,,,,,
adult_abundance,Illinois,largemouth_bass,Community Sample,,Boat electrofishing DC - Unspecified Manufacturer,,,,,,,,
adult_abundance,Illinois,largemouth_bass,Community Sample,,Boat electrofishing DC -- Wisconsin,,,,,,,,
adult_abundance,Illinois,largemouth_bass,Community Sample,,Boat electrofishing DC -- Wisconsin (Night),,,,,,,,
adult_abundance,Illinois,largemouth_bass,Community Sample,,Trap net 0.5 in bar mesh,,,,,,,,
adult_abundance,Illinois,largemouth_bass,Community Sample,,Trap net 1 in bar mesh,,,,,,,,
adult_abundance,Illinois,largemouth_bass,Community Sample,,Trap net 1.5 in bar mesh,,,,,,,,
adult_abundance,Illinois,largemouth_bass,Targeted Species,,Boat electrofishing AC,,,,,,,,
adult_abundance,Illinois,largemouth_bass,Targeted Species,,Boat electrofishing AC (Night),,,,,,,,
adult_abundance,Illinois,largemouth_bass,Targeted Species,,Boat electrofishing DC -- Smith Root,,,,,,,,
adult_abundance,Illinois,largemouth_bass,Targeted Species,,Boat electrofishing DC -- Smith Root (Night),,,,,,,,
adult_abundance,Illinois,largemouth_bass,Targeted Species,,Boat electrofishing DC - Unspecified Manufacturer,,,,,,,,
adult_abundance,Illinois,largemouth_bass,Targeted Species,,Boat electrofishing DC -- Wisconsin,,,,,,,,
adult_abundance,Illinois,largemouth_bass,Targeted Species,,Boat electrofishing DC -- Wisconsin (Night),,,,,,,,
adult_abundance,Illinois,largemouth_bass,Targeted Species,,Trap net 0.5 in bar mesh,,,,,,,,
adult_abundance,Illinois,largemouth_bass,Targeted Species,,Trap net 1 in bar mesh,,,,,,,,
adult_abundance,Illinois,largemouth_bass,Targeted Species,,Trap net 1.5 in bar mesh,,,,,,,,
adult_abundance,Illinois,northern_pike,Community Sample,,Boat electrofishing AC,,,,,,,,
adult_abundance,Illinois,northern_pike,Community Sample,,Boat electrofishing AC (Night),,,,,,,,
adult_abundance,Illinois,northern_pike,Community Sample,,Boat electrofishing DC -- Smith Root,,,,,,,,
adult_abundance,Illinois,northern_pike,Community Sample,,Boat electrofishing DC -- Smith Root (Night),,,,,,,,
adult_abundance,Illinois,northern_pike,Community Sample,,Boat electrofishing DC - Unspecified Manufacturer,,,,,,,,
